id,comment_text
pR3sEEuDI08,"
Where are you guys from?
"
pR3sEEuDI09,Where are you guys from?
pR3sEEuDI10,"you're really numb, if you feel love when the world is ruled by the greedy..."
pR3sEEuDI11,Awesome track!
pR3sEEuDI12,Excellent choice and good quality perfect start to the week congratulations 
pR3sEEuDI13,"Dei o like pra fortalecer mas achei fraca a música. Dps que se acostuma ouvir Vintage, vc fica exigente musicalmente falando "
pR3sEEuDI14,WOW
pR3sEEuDI15,AMAZING MUSIC  
pR3sEEuDI16,WE LOVE THAT SOUNDS 
pR3sEEuDI17,THANKS
pR3sEEuDI18,Great Beats 
pR3sEEuDI19,"Brilliant Track, Music"
pR3sEEuDI20,"ADDED IN MY PLAYLIST, "
pR3sEEuDI21,"SO GOOOOOD, "
pR3sEEuDI22,So breathin.. really heart breaking
pR3sEEuDI23,Ela já não tem direitos autorais?
pR3sEEuDI24,real masterpiece!
pR3sEEuDI25,Love it - stunning girl too
pR3sEEuDI26,Another tune
pR3sEEuDI27,Fabulous track
pR3sEEuDI28,You are Always the bestttttttt!!!!!!
pR3sEEuDI29,sadece beklemeni istiyorum shok oleceksin uleee :)))curciiiiiii show kurdish show same same
pR3sEEuDI30,"Loving this tune, its Awesome very very addictive. makes you wanna dance dance dance.!!"
pR3sEEuDI31,dont worry mrdeepsense we dont like you :))
pR3sEEuDI32,he is live in germany maybe spain :)) spian spain: ))
pR3sEEuDI33,ulen mrdeepsense yine bokasard?n occccccc
pR3sEEuDI34,Start verdim sana.
pR3sEEuDI35,occ nedemek oldugunu sadece curcia germany bilir.
pR3sEEuDI36,label kiss you soon :)) Curciiiiiiiiiiii olcak isler dgil mkkkk
pR3sEEuDI37,It's a war !!! i will close the your channel dont worry i know too much label
pR3sEEuDI38,Such a sick collab!
pR3sEEuDI39,mrdeepsikiiiiii :)))
pR3sEEuDI40,Old
pR3sEEuDI41,offtt
pR3sEEuDI42,LITHUANIA
pR3sEEuDI44,Nice
pR3sEEuDI45,Cool!
pR3sEEuDI48,Hey hey
pR3sEEuDI50,:D
pR3sEEuDI51,Top dmais algum BR ?
pR3sEEuDI52,"you're really numb, if you feel love when the world is ruled by the greedy…"
