"","description_length"
"1",26
"2",34
"3",17
"4",25
"5",13
"6",27
"7",22
"8",24
"9",31
"10",37
"11",25
"12",24
"13",19
"14",25
"15",28
"16",31
"17",26
"18",21
"19",24
"20",21
"21",27
"22",6
"23",21
"24",25
"25",24
"26",29
"27",27
"28",24
"29",24
"30",22
"31",26
"32",26
"33",15
"34",15
"35",26
"36",25
"37",29
"38",24
"39",18
"40",22
"41",19
"42",24
"43",23
"44",33
"45",28
"46",21
"47",28
"48",25
"49",23
"50",33
"51",26
"52",25
"53",29
"54",32
"55",15
"56",29
"57",28
"58",25
"59",28
"60",23
"61",18
"62",31
"63",18
"64",27
"65",26
"66",17
"67",23
"68",19
"69",14
"70",25
"71",19
"72",25
"73",26
"74",30
"75",30
"76",17
"77",131
"78",24
"79",22
"80",26
"81",15
"82",25
"83",17
"84",19
"85",21
"86",21
"87",27
"88",27
"89",15
"90",19
"91",26
"92",23
"93",20
"94",4
"95",4
"96",23
"97",24
"98",26
"99",25
"100",23
"101",24
"102",20
"103",23
"104",21
"105",28
"106",29
"107",27
"108",17
"109",27
"110",13
"111",21
"112",20
"113",29
"114",31
"115",19
"116",30
"117",30
"118",26
"119",32
"120",12
"121",23
"122",22
"123",21
"124",25
"125",21
"126",21
"127",27
"128",21
"129",24
"130",18
"131",30
"132",21
"133",28
"134",26
"135",27
"136",23
"137",7
"138",29
"139",19
"140",9
"141",26
"142",21
"143",15
"144",25
"145",28
"146",29
"147",25
"148",4
"149",4
"150",22
"151",22
"152",17
"153",19
"154",25
"155",18
"156",29
"157",17
"158",26
"159",26
"160",28
"161",26
"162",14
"163",28
"164",30
"165",23
"166",17
"167",26
"168",24
"169",25
"170",26
"171",18
"172",23
"173",27
"174",14
"175",22
"176",27
"177",25
"178",23
"179",12
"180",24
"181",23
"182",27
"183",29
"184",31
"185",19
"186",32
"187",32
"188",28
"189",24
"190",26
"191",30
"192",23
"193",23
"194",19
"195",30
"196",22
"197",15
"198",22
"199",29
"200",27
"201",28
"202",26
"203",19
"204",25
"205",28
"206",32
"207",19
"208",28
"209",29
"210",31
"211",22
"212",22
"213",28
"214",30
"215",22
"216",28
"217",24
"218",27
"219",26
"220",15
"221",20
"222",26
"223",28
"224",26
"225",21
"226",24
"227",17
"228",28
"229",16
"230",22
"231",28
"232",25
"233",24
"234",17
"235",28
"236",28
"237",17
"238",17
"239",30
"240",26
"241",25
"242",24
"243",25
"244",23
"245",26
"246",24
"247",32
"248",20
"249",25
"250",18
"251",27
"252",26
"253",25
"254",28
"255",21
"256",29
"257",26
"258",17
"259",31
"260",28
"261",27
"262",23
"263",24
"264",24
"265",26
"266",27
"267",18
"268",30
"269",22
"270",1
"271",27
"272",25
"273",25
"274",25
"275",28
"276",25
"277",23
"278",24
"279",22
"280",15
"281",18
"282",26
"283",25
"284",21
"285",24
"286",22
"287",29
"288",20
"289",30
"290",27
"291",33
"292",23
"293",18
"294",29
"295",28
"296",27
"297",26
"298",25
"299",18
"300",32
"301",26
"302",26
"303",28
"304",31
"305",27
"306",29
"307",30
"308",19
"309",13
"310",27
"311",22
"312",17
"313",32
"314",17
"315",27
"316",28
"317",18
"318",27
"319",25
"320",30
"321",24
"322",32
"323",25
"324",21
"325",27
"326",24
"327",25
"328",23
"329",28
"330",28
"331",0
"332",27
"333",24
"334",28
"335",3
"336",21
"337",22
"338",8
"339",8
"340",19
"341",28
"342",14
"343",26
"344",34
"345",14
"346",22
"347",24
"348",29
"349",21
"350",21
"351",26
"352",26
"353",21
"354",24
"355",22
"356",22
"357",18
"358",25
"359",16
"360",16
"361",25
"362",25
"363",17
"364",20
"365",20
"366",29
"367",29
"368",8
"369",8
"370",18
"371",29
"372",16
"373",16
"374",21
"375",21
"376",22
"377",22
"378",25
"379",25
"380",20
"381",20
"382",29
"383",29
"384",23
"385",26
"386",26
"387",16
"388",19
"389",3
"390",27
"391",12
"392",31
"393",8
"394",28
"395",25
"396",17
"397",31
"398",14
"399",23
"400",19
"401",21
"402",28
"403",25
"404",24
"405",18
"406",29
"407",14
"408",28
"409",29
"410",17
"411",23
"412",26
"413",30
"414",22
"415",20
"416",22
"417",17
"418",6
"419",29
"420",18
"421",24
"422",29
"423",26
"424",26
"425",24
"426",23
"427",20
"428",24
"429",26
"430",28
"431",23
"432",31
"433",26
"434",9
"435",25
"436",24
"437",22
"438",26
"439",14
"440",24
"441",29
"442",25
"443",23
"444",25
"445",27
"446",17
"447",27
"448",26
"449",16
"450",23
"451",20
"452",31
"453",29
"454",23
"455",33
"456",24
"457",30
"458",20
"459",17
"460",30
"461",26
"462",25
"463",29
"464",28
"465",35
"466",14
"467",12
"468",21
"469",27
"470",19
"471",19
"472",23
"473",34
"474",20
"475",26
"476",26
"477",32
"478",23
"479",36
"480",27
